Time	Blank	D5	D6	D7	E5	E6	E7	F5	F6	F7
0:29:16	0.000	0.001	0.001	0.000	0.002	0.016	0.001	0.004	0.003	0.005
0:59:16	0.000	0.005	0.007	0.006	0.006	0.021	0.004	0.008	0.008	0.009
1:29:16	0.000	0.016	0.018	0.016	0.016	0.030	0.015	0.018	0.017	0.017
1:59:16	0.000	0.042	0.045	0.041	0.040	0.060	0.042	0.038	0.044	0.039
2:29:16	0.000	0.107	0.111	0.097	0.104	0.130	0.107	0.103	0.104	0.100
2:59:16	0.000	0.268	0.263	0.239	0.273	0.301	0.266	0.256	0.270	0.284
3:29:16	0.000	0.484	0.508	0.481	0.523	0.518	0.487	0.494	0.493	0.511
3:59:16	0.000	0.631	0.670	0.644	0.640	0.659	0.637	0.675	0.662	0.671
4:29:16	0.000	0.725	0.749	0.725	0.706	0.728	0.708	0.738	0.727	0.713
4:59:16	0.000	0.766	0.798	0.777	0.768	0.778	0.763	0.769	0.781	0.779
5:29:16	0.000	0.792	0.817	0.800	0.808	0.790	0.779	0.765	0.817	0.948
5:59:16	0.000	0.836	0.845	0.868	0.972	0.846	0.887	0.798	0.835	1.029
6:29:16	0.000	0.878	0.939	0.934	1.085	0.901	0.961	0.866	0.878	1.196
6:59:16	0.000	0.911	1.026	0.980	1.183	0.930	0.980	0.931	0.905	1.231
7:29:16	0.000	0.967	1.166	1.018	1.238	0.960	1.004	0.974	0.929	1.251
7:59:16	0.000	1.002	1.210	1.044	1.272	0.989	1.018	1.003	0.959	1.266
8:29:16	0.000	1.032	1.238	1.069	1.287	1.012	1.039	1.017	0.987	1.277
8:59:16	0.000	1.051	1.248	1.080	1.302	1.026	1.050	1.032	1.019	1.283
9:29:16	0.000	1.071	1.262	1.089	1.323	1.039	1.056	1.042	1.035	1.288
9:59:16	0.000	1.076	1.269	1.096	1.329	1.039	1.065	1.043	1.049	1.301
10:29:16	0.000	1.085	1.275	1.107	1.335	1.047	1.070	1.050	1.061	1.307
10:59:16	0.000	1.092	1.282	1.123	1.333	1.055	1.081	1.057	1.071	1.313
11:29:16	0.000	1.105	1.290	1.134	1.338	1.063	1.091	1.059	1.085	1.319
11:59:16	0.000	1.110	1.298	1.146	1.346	1.074	1.100	1.067	1.094	1.323
12:29:16	0.000	1.115	1.305	1.156	1.350	1.080	1.113	1.077	1.105	1.332
12:59:16	0.000	1.122	1.310	1.167	1.361	1.087	1.120	1.085	1.113	1.334
13:29:16	0.000	1.131	1.319	1.181	1.363	1.096	1.127	1.092	1.124	1.344
13:59:16	0.000	1.141	1.323	1.194	1.369	1.104	1.143	1.097	1.130	1.347
14:29:16	0.000	1.148	1.330	1.202	1.374	1.112	1.148	1.105	1.142	1.355
14:59:16	0.000	1.156	1.334	1.216	1.379	1.117	1.158	1.111	1.144	1.359
15:29:16	0.000	1.162	1.341	1.229	1.384	1.123	1.168	1.115	1.145	1.362
15:59:16	0.000	1.169	1.347	1.245	1.386	1.134	1.176	1.123	1.157	1.371
16:29:16	0.000	1.176	1.354	1.256	1.386	1.134	1.186	1.130	1.162	1.375
16:59:16	0.000	1.183	1.363	1.268	1.388	1.141	1.199	1.136	1.170	1.378
17:29:16	0.000	1.189	1.371	1.280	1.387	1.152	1.212	1.140	1.179	1.384
17:59:16	0.000	1.193	1.374	1.299	1.392	1.164	1.219	1.139	1.190	1.387
18:29:16	0.000	1.200	1.378	1.320	1.392	1.173	1.225	1.140	1.201	1.389
18:59:16	0.000	1.200	1.378	1.350	1.394	1.182	1.232	1.137	1.210	1.390
19:29:16	0.000	1.202	1.376	1.360	1.392	1.193	1.239	1.161	1.224	1.388
19:59:16	0.000	1.199	1.390	1.349	1.388	1.207	1.243	1.157	1.225	1.387
20:29:16	0.000	1.197	1.396	1.347	1.386	1.201	1.237	1.154	1.242	1.392
20:59:16	0.000	1.190	1.408	1.340	1.384	1.203	1.238	1.157	1.241	1.395
21:29:15	0.000	1.208	1.415	1.339	1.382	1.203	1.237	1.147	1.240	1.399
21:59:15	0.000	1.219	1.422	1.339	1.381	1.193	1.237	1.147	1.242	1.395
22:29:16	0.000	1.220	1.420	1.336	1.391	1.184	1.225	1.145	1.245	1.397
22:59:16	0.000	1.219	1.421	1.331	1.394	1.187	1.225	1.145	1.236	1.398
23:29:15	0.000	1.221	1.423	1.062	1.392	1.181	1.220	1.143	1.228	1.403
23:59:16	0.000	1.223	1.425	1.371	1.396	1.178	1.222	1.144	1.230	1.407
