Time	Temp	Blank	D5	D6	D7	E5	E6	E7	F5	F6	F7
0:29:16	30.0	0.087	0.091	0.093	0.092	0.094	0.091	0.102	0.091	0.096	0.091
0:59:16	30.0	0.087	0.094	0.097	0.095	0.097	0.097	0.105	0.094	0.099	0.094
1:29:16	30.0	0.087	0.101	0.105	0.102	0.103	0.100	0.111	0.101	0.105	0.100
1:59:16	30.0	0.087	0.119	0.122	0.119	0.120	0.118	0.126	0.117	0.119	0.114
2:29:16	29.9	0.087	0.159	0.147	0.146	0.151	0.145	0.153	0.151	0.151	0.145
2:59:16	30.0	0.087	0.227	0.201	0.205	0.211	0.206	0.210	0.217	0.210	0.199
3:29:16	30.0	0.087	0.380	0.323	0.349	0.358	0.348	0.318	0.367	0.328	0.322
3:59:16	30.0	0.087	0.568	0.498	0.562	0.550	0.527	0.493	0.570	0.508	0.507
4:29:16	29.9	0.087	0.737	0.683	0.729	0.736	0.709	0.666	0.736	0.708	0.726
4:59:16	30.0	0.087	0.851	0.816	0.848	0.836	0.850	0.778	0.831	0.830	0.840
5:29:16	30.0	0.087	0.916	0.944	0.914	0.896	0.917	0.886	0.916	0.921	0.931
5:59:16	29.9	0.087	0.962	1.019	0.980	0.958	0.966	0.969	0.985	0.984	1.000
6:29:16	30.0	0.087	1.002	1.068	1.019	1.004	1.026	1.001	1.033	1.037	1.076
6:59:16	29.9	0.087	1.095	1.087	1.108	1.130	1.061	1.074	1.113	1.122	1.114
7:29:16	29.9	0.088	1.297	1.133	1.207	1.273	1.210	1.147	1.144	1.158	1.175
7:59:16	29.9	0.088	1.411	1.166	1.290	1.330	1.391	1.236	1.178	1.173	1.203
8:29:16	30.0	0.088	1.447	1.209	1.271	1.354	1.413	1.237	1.204	1.182	1.243
8:59:16	30.0	0.088	1.497	1.232	1.332	1.415	1.486	1.338	1.305	1.250	1.313
9:29:16	30.0	0.088	1.529	1.254	1.380	1.455	1.420	1.384	1.344	1.267	1.341
9:59:16	29.9	0.088	1.558	1.256	1.420	1.482	1.456	1.389	1.367	1.300	1.365
10:29:16	30.0	0.088	1.568	1.307	1.434	1.495	1.491	1.391	1.382	1.346	1.391
10:59:16	29.9	0.088	1.563	1.325	1.462	1.514	1.525	1.408	1.405	1.397	1.411
11:29:16	30.0	0.089	1.565	1.333	1.471	1.525	1.550	1.406	1.420	1.402	1.422
11:59:16	30.0	0.089	1.557	1.335	1.489	1.545	1.559	1.420	1.431	1.437	1.434
12:29:16	30.0	0.089	1.552	1.349	1.494	1.455	1.573	1.414	1.452	1.456	1.446
12:59:16	30.0	0.089	1.547	1.351	1.510	1.463	1.581	1.412	1.463	1.462	1.454
13:29:16	30.0	0.089	1.544	1.345	1.515	1.465	1.583	1.413	1.467	1.470	1.457
13:59:16	30.0	0.089	1.546	1.346	1.530	1.468	1.597	1.413	1.474	1.481	1.465
14:29:16	30.0	0.089	1.548	1.387	1.534	1.465	1.599	1.417	1.474	1.490	1.470
14:59:16	30.0	0.089	1.544	1.412	1.541	1.476	1.602	1.424	1.477	1.496	1.470
15:29:16	30.0	0.089	1.545	1.442	1.546	1.474	1.609	1.421	1.474	1.494	1.471
15:59:16	30.0	0.089	1.544	1.508	1.561	1.483	1.612	1.425	1.473	1.501	1.470
16:29:16	30.0	0.089	1.546	1.565	1.571	1.483	1.613	1.432	1.471	1.495	1.467
16:59:16	29.9	0.089	1.541	1.597	1.578	1.503	1.613	1.430	1.473	1.502	1.465
17:29:16	30.0	0.089	1.549	1.548	1.613	1.564	1.618	1.455	1.466	1.486	1.460
17:59:16	30.0	0.089	1.544	1.526	1.611	1.358	1.647	1.461	1.466	1.496	1.459
18:29:16	30.0	0.089	1.548	1.511	1.582	1.372	1.446	1.479	1.457	1.481	1.454
18:59:16	30.0	0.089	1.547	1.456	1.560	1.410	1.461	1.494	1.461	1.486	1.448
19:29:16	30.0	0.089	1.545	1.424	1.523	1.425	1.451	1.497	1.449	1.472	1.442
19:59:16	30.0	0.089	1.537	1.544	1.509	1.407	1.442	1.510	1.450	1.477	1.438
20:29:16	30.0	0.089	1.531	1.703	1.503	1.419	1.303	1.492	1.434	1.460	1.432
20:59:16	30.0	0.089	1.502	1.610	1.496	1.425	1.563	1.515	1.430	1.458	1.417
21:29:16	30.0	0.089	1.543	1.153	1.494	1.451	1.217	1.502	1.413	1.446	1.406
21:59:16	30.0	0.089	1.360	1.000	1.490	1.441	1.304	1.534	1.412	1.443	1.397
22:29:16	30.0	0.089	1.518	1.650	1.494	1.442	1.682	1.498	1.394	1.426	1.386
22:59:16	30.0	0.089	1.734	1.894	1.495	1.459	1.397	1.532	1.385	1.419	1.371
23:29:16	30.0	0.089	1.385	1.853	1.499	1.439	1.672	1.494	1.370	1.413	1.358
23:59:16	30.0	0.089	1.375	1.936	1.505	1.454	1.555	1.503	1.356	1.408	1.338
