Time	Temp	Blank	D5	D6	D7	E5	E6	E7	F5	F6	F7
0:29:16	22.0	0.087	0.089	0.088	0.087	0.089	0.089	0.088	0.091	0.088	0.088
0:59:16	22.0	0.087	0.089	0.089	0.088	0.089	0.090	0.088	0.092	0.089	0.088
1:29:16	22.0	0.087	0.090	0.089	0.089	0.089	0.091	0.089	0.092	0.090	0.089
1:59:16	22.0	0.087	0.091	0.090	0.090	0.090	0.091	0.091	0.094	0.091	0.091
2:29:16	22.0	0.087	0.093	0.092	0.092	0.091	0.092	0.092	0.095	0.093	0.092
2:59:16	22.0	0.087	0.095	0.094	0.093	0.093	0.095	0.094	0.098	0.095	0.095
3:29:16	22.0	0.087	0.099	0.098	0.097	0.096	0.097	0.097	0.101	0.099	0.098
3:59:16	22.0	0.087	0.105	0.105	0.102	0.102	0.102	0.102	0.109	0.105	0.104
4:29:16	22.0	0.087	0.110	0.108	0.109	0.105	0.106	0.105	0.120	0.111	0.107
4:59:16	22.0	0.088	0.112	0.107	0.121	0.111	0.109	0.107	0.123	0.119	0.109
5:29:16	22.0	0.087	0.109	0.122	0.132	0.118	0.108	0.108	0.159	0.126	0.121
5:59:16	22.0	0.087	0.117	0.133	0.159	0.121	0.110	0.131	0.165	0.142	0.134
6:29:16	22.0	0.088	0.141	0.142	0.181	0.140	0.131	0.142	0.159	0.151	0.155
6:59:16	22.0	0.087	0.164	0.173	0.200	0.173	0.150	0.172	0.209	0.191	0.180
7:29:16	22.0	0.088	0.203	0.215	0.233	0.211	0.179	0.205	0.242	0.215	0.217
7:59:16	22.1	0.088	0.254	0.269	0.311	0.256	0.218	0.254	0.297	0.282	0.288
8:29:16	22.0	0.087	0.327	0.355	0.387	0.334	0.293	0.337	0.379	0.343	0.359
8:59:16	22.0	0.087	0.415	0.440	0.459	0.407	0.361	0.401	0.445	0.438	0.450
9:29:16	22.0	0.088	0.493	0.545	0.556	0.516	0.457	0.510	0.541	0.532	0.549
9:59:16	22.0	0.088	0.593	0.662	0.695	0.636	0.567	0.613	0.583	0.649	0.675
10:29:16	22.0	0.087	0.726	0.799	0.848	0.747	0.679	0.736	0.673	0.756	0.775
10:59:16	22.0	0.088	0.781	0.871	0.894	0.833	0.792	0.852	0.798	0.831	0.825
11:29:16	22.0	0.088	0.858	0.943	0.961	0.890	0.835	0.931	0.912	0.915	0.917
11:59:16	22.0	0.088	0.985	0.987	1.014	0.942	0.926	0.983	0.989	0.971	1.013
12:29:16	22.0	0.088	1.041	1.031	1.074	1.039	0.969	1.050	1.052	1.034	1.047
12:59:16	22.0	0.088	1.069	1.081	1.062	1.046	1.000	1.091	1.079	1.074	1.059
13:29:16	22.0	0.088	1.069	1.114	1.038	1.092	1.077	1.110	1.093	1.071	1.070
13:59:16	22.0	0.088	1.107	1.086	1.056	1.048	1.204	1.115	1.121	1.073	1.095
14:29:16	22.0	0.088	1.084	1.092	1.051	1.035	1.280	1.099	1.139	1.183	1.085
14:59:16	22.0	0.088	1.068	1.068	1.039	1.045	1.335	1.115	1.115	1.224	1.077
15:29:16	22.0	0.088	1.089	1.064	1.037	1.021	1.356	1.058	1.106	1.277	1.083
15:59:16	22.0	0.088	1.096	1.044	1.057	1.001	1.368	1.002	1.083	1.334	1.071
16:29:16	22.0	0.088	1.108	1.066	1.069	1.025	1.395	0.990	1.081	1.376	1.039
16:59:16	22.0	0.088	1.111	1.096	1.072	1.044	1.405	0.935	0.995	1.394	1.027
17:29:16	22.1	0.088	1.190	1.140	1.100	1.072	1.416	0.888	1.001	1.397	1.036
17:59:16	22.0	0.088	1.231	1.168	1.144	1.137	1.420	0.873	1.014	1.399	1.047
18:29:16	22.0	0.088	1.247	1.200	1.271	1.222	1.416	0.908	0.997	1.400	1.117
18:59:16	22.1	0.088	1.272	1.208	1.245	1.272	1.419	0.943	1.020	1.393	1.170
19:29:16	22.0	0.088	1.286	1.227	1.282	1.298	1.420	0.999	1.001	1.391	1.204
19:59:16	22.0	0.088	1.290	1.246	1.289	1.305	1.413	0.991	1.029	1.387	1.211
20:29:16	22.0	0.088	1.283	1.262	1.280	1.322	1.410	1.009	1.109	1.385	1.222
20:59:16	22.0	0.088	1.302	1.269	1.273	1.322	1.413	1.038	0.984	1.386	1.221
21:29:16	22.1	0.088	1.290	1.289	1.276	1.322	1.409	1.033	0.997	1.381	1.218
21:59:16	22.0	0.088	1.274	1.275	1.278	1.317	1.404	1.041	0.974	1.374	1.209
22:29:16	22.0	0.088	1.283	1.281	1.273	1.327	1.401	1.062	1.017	1.382	1.202
22:59:16	22.0	0.088	1.273	1.280	1.266	1.329	1.397	1.081	0.996	1.375	1.190
23:29:16	22.0	0.088	1.267	1.279	1.279	1.306	1.401	1.054	0.988	1.364	1.188
23:59:16	22.0	0.088	1.258	1.271	1.262	1.323	1.398	1.077	1.021	1.361	1.168
