Time	Blank	D5	D6	D7	E5	E6	E7	F5	F6	F7
0:29:16	0.000	0.002	0.001	0.000	0.002	0.002	0.001	0.003	0.002	0.001
0:59:16	0.000	0.003	0.001	0.001	0.002	0.002	0.001	0.004	0.002	0.038
1:29:16	0.000	0.006	0.002	0.002	0.005	0.004	0.003	0.005	0.003	0.006
1:59:16	0.000	0.007	0.005	0.006	0.007	0.007	0.006	0.008	0.007	0.007
2:29:16	0.000	0.013	0.011	0.013	0.013	0.011	0.011	0.013	0.012	0.011
2:59:16	0.000	0.020	0.018	0.024	0.018	0.017	0.017	0.017	0.023	0.016
3:29:16	0.000	0.029	0.026	0.033	0.030	0.025	0.023	0.023	0.030	0.021
3:59:16	0.000	0.047	0.041	0.061	0.043	0.039	0.037	0.037	0.049	0.036
4:29:16	0.000	0.078	0.074	0.107	0.080	0.069	0.066	0.057	0.093	0.057
4:59:16	0.000	0.151	0.130	0.199	0.142	0.122	0.118	0.107	0.160	0.105
5:29:16	0.000	0.254	0.238	0.316	0.271	0.225	0.211	0.181	0.279	0.188
5:59:16	0.000	0.402	0.366	0.494	0.406	0.350	0.328	0.301	0.438	0.306
6:29:16	0.000	0.552	0.536	0.652	0.559	0.507	0.488	0.456	0.572	0.455
6:59:16	0.000	0.722	0.701	0.787	0.723	0.680	0.667	0.617	0.713	0.627
7:29:16	0.000	0.810	0.794	0.865	0.804	0.758	0.783	0.722	0.817	0.738
7:59:16	0.000	0.873	0.843	0.903	0.867	0.852	0.845	0.805	0.871	0.828
8:29:16	0.000	0.898	0.891	0.943	0.907	0.876	0.896	0.872	0.932	0.886
8:59:16	0.000	0.906	0.915	0.977	0.947	0.907	0.912	0.899	0.938	0.943
9:29:16	0.000	0.974	0.912	0.951	0.953	0.996	0.929	0.934	0.958	0.983
9:59:16	0.000	0.973	0.914	1.041	0.944	1.140	0.909	0.909	0.953	0.982
10:29:16	0.000	1.112	0.901	1.099	0.921	1.197	0.910	0.888	0.927	0.963
10:59:16	0.000	1.211	0.906	1.130	0.911	1.226	0.901	0.867	0.951	0.967
11:29:16	0.000	1.256	1.005	1.174	0.998	1.252	0.929	0.882	1.022	1.040
11:59:16	0.000	1.292	1.057	1.205	1.058	1.268	0.965	0.873	1.065	1.101
12:29:16	0.000	1.306	1.101	1.249	1.146	1.275	1.004	0.888	1.122	1.175
12:59:16	0.000	1.313	1.170	1.303	1.176	1.281	1.022	0.927	1.154	1.218
13:29:16	0.000	1.323	1.199	1.396	1.202	1.286	1.054	0.981	1.173	1.249
13:59:16	0.000	1.320	1.220	1.466	1.213	1.286	1.083	1.006	1.200	1.257
14:29:16	0.000	1.329	1.234	1.233	1.220	1.288	1.112	1.044	1.211	1.262
14:59:16	0.000	1.332	1.257	1.300	1.222	1.288	1.142	1.092	1.215	1.270
15:29:16	0.000	1.340	1.262	1.290	1.234	1.294	1.173	1.140	1.221	1.279
15:59:16	0.000	1.343	1.272	1.324	1.239	1.295	1.213	1.172	1.228	1.287
16:29:16	0.000	1.352	1.282	1.350	1.242	1.297	1.244	1.196	1.242	1.293
16:59:16	0.000	1.351	1.291	1.350	1.247	1.300	1.266	1.213	1.249	1.287
17:29:16	0.000	1.354	1.301	1.359	1.248	1.307	1.277	1.213	1.256	1.288
17:59:16	0.000	1.360	1.307	1.373	1.254	1.308	1.290	1.215	1.215	1.272
18:29:16	0.000	1.367	1.309	1.356	1.259	1.311	1.300	1.217	1.224	1.245
18:59:16	0.000	1.361	1.311	1.387	1.259	1.313	1.308	1.222	1.225	1.236
19:29:16	0.000	1.364	1.314	1.382	1.260	1.319	1.311	1.204	1.227	1.226
19:59:16	0.000	1.359	1.314	1.375	1.263	1.319	1.321	1.197	1.224	1.356
20:29:16	0.000	1.357	1.313	1.426	1.259	1.320	1.322	1.195	1.213	1.222
20:59:16	0.000	1.357	1.317	1.418	1.263	1.320	1.322	1.174	1.213	1.240
21:29:16	0.000	1.358	1.312	1.421	1.261	1.321	1.321	1.171	1.196	1.270
21:59:16	0.000	1.356	1.310	1.352	1.260	1.323	1.323	1.160	1.196	1.279
22:29:16	0.000	1.352	1.309	1.424	1.259	1.321	1.325	1.156	1.421	1.304
22:59:16	0.000	1.167	1.307	1.427	1.252	1.317	1.325	1.155	1.255	1.301
23:29:16	0.000	1.213	1.304	1.379	1.249	1.316	1.323	1.344	1.260	1.313
23:59:16	0.000	1.226	1.301	1.413	1.244	1.309	1.317	1.290	1.299	1.332
24:29:16	0.000	1.261	1.297	1.339	1.239	1.300	1.314	1.232	1.296	1.319
