Time	Blank	D5	D6	D7	E5	E6	E7	F5	F6	F7
0:29:16	0.000	0.001	0.000	0.000	0.001	0.002	0.001	0.004	0.001	0.001
0:59:16	0.000	0.002	0.001	0.001	0.002	0.002	0.001	0.004	0.002	0.001
1:29:16	0.000	0.003	0.002	0.001	0.002	0.004	0.002	0.005	0.002	0.002
1:59:16	0.000	0.004	0.003	0.002	0.003	0.004	0.003	0.006	0.004	0.003
2:29:16	0.000	0.005	0.004	0.004	0.004	0.005	0.004	0.008	0.006	0.005
2:59:16	0.000	0.008	0.007	0.006	0.006	0.008	0.006	0.010	0.008	0.007
3:29:16	0.000	0.012	0.010	0.009	0.008	0.009	0.009	0.014	0.011	0.011
3:59:16	0.000	0.017	0.017	0.014	0.014	0.014	0.014	0.022	0.017	0.016
4:29:16	0.000	0.022	0.020	0.021	0.018	0.019	0.018	0.032	0.024	0.020
4:59:16	0.000	0.024	0.019	0.033	0.023	0.021	0.020	0.036	0.031	0.021
5:29:16	0.000	0.022	0.035	0.044	0.030	0.020	0.020	0.071	0.038	0.034
5:59:16	0.000	0.030	0.046	0.071	0.033	0.022	0.043	0.078	0.055	0.047
6:29:16	0.000	0.053	0.054	0.094	0.052	0.043	0.054	0.072	0.063	0.067
6:59:16	0.000	0.076	0.085	0.112	0.085	0.063	0.084	0.122	0.104	0.093
7:29:16	0.000	0.116	0.127	0.145	0.123	0.092	0.117	0.154	0.128	0.129
7:59:16	0.000	0.166	0.181	0.223	0.168	0.131	0.167	0.209	0.195	0.200
8:29:16	0.000	0.239	0.267	0.299	0.247	0.206	0.250	0.291	0.256	0.271
8:59:16	0.000	0.328	0.352	0.371	0.319	0.273	0.313	0.358	0.350	0.362
9:29:16	0.000	0.405	0.458	0.469	0.428	0.370	0.422	0.454	0.445	0.461
9:59:16	0.000	0.506	0.574	0.608	0.549	0.480	0.525	0.495	0.561	0.588
10:29:16	0.000	0.638	0.711	0.760	0.660	0.591	0.648	0.586	0.668	0.688
10:59:16	0.000	0.694	0.784	0.807	0.745	0.704	0.764	0.711	0.743	0.737
11:29:16	0.000	0.771	0.856	0.873	0.803	0.748	0.844	0.825	0.827	0.829
11:59:16	0.000	0.897	0.899	0.926	0.855	0.839	0.895	0.902	0.884	0.925
12:29:16	0.000	0.954	0.943	0.986	0.951	0.881	0.963	0.964	0.946	0.959
12:59:16	0.000	0.982	0.993	0.974	0.958	0.912	1.004	0.991	0.986	0.971
13:29:16	0.000	0.982	1.027	0.951	1.004	0.989	1.022	1.006	0.984	0.982
13:59:16	0.000	1.019	0.999	0.968	0.961	1.116	1.027	1.033	0.986	1.007
14:29:16	0.000	0.997	1.005	0.963	0.947	1.193	1.012	1.051	1.095	0.997
14:59:16	0.000	0.981	0.981	0.951	0.957	1.247	1.027	1.028	1.136	0.989
15:29:16	0.000	1.002	0.977	0.949	0.933	1.268	0.971	1.018	1.189	0.995
15:59:16	0.000	1.008	0.956	0.969	0.913	1.280	0.914	0.996	1.246	0.983
16:29:16	0.000	1.020	0.978	0.981	0.937	1.308	0.902	0.994	1.288	0.951
16:59:16	0.000	1.024	1.008	0.984	0.956	1.317	0.847	0.907	1.306	0.939
17:29:16	0.000	1.102	1.052	1.012	0.984	1.329	0.801	0.914	1.309	0.948
17:59:16	0.000	1.143	1.080	1.056	1.049	1.332	0.785	0.926	1.311	0.960
18:29:16	0.000	1.159	1.112	1.183	1.134	1.328	0.820	0.909	1.312	1.029
18:59:16	0.000	1.184	1.120	1.158	1.184	1.331	0.856	0.932	1.305	1.082
19:29:16	0.000	1.199	1.139	1.195	1.210	1.332	0.911	0.913	1.303	1.116
19:59:16	0.000	1.202	1.158	1.201	1.217	1.325	0.903	0.941	1.299	1.123
20:29:16	0.000	1.196	1.174	1.192	1.234	1.323	0.921	1.021	1.297	1.134
20:59:16	0.000	1.214	1.182	1.185	1.234	1.325	0.950	0.896	1.298	1.133
21:29:16	0.000	1.202	1.201	1.188	1.234	1.321	0.945	0.909	1.294	1.130
21:59:16	0.000	1.187	1.187	1.190	1.229	1.316	0.953	0.886	1.287	1.122
22:29:16	0.000	1.195	1.193	1.185	1.239	1.313	0.974	0.929	1.294	1.114
22:59:16	0.000	1.185	1.192	1.178	1.241	1.309	0.993	0.908	1.287	1.102
23:29:16	0.000	1.179	1.191	1.191	1.218	1.313	0.966	0.900	1.276	1.100
23:59:16	0.000	1.170	1.183	1.174	1.235	1.310	0.990	0.934	1.273	1.081
